Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  CRO    1   RS @CRO  L(97-105)  0  1  2400   6  12   6  11   0   1   2   2   1   2   4   7   2   4  5  8 13   0  2  1  14  10   4  -8  97 105   14    1   2   0   1   0  A
  11  WIL    3   RS @WIL   L(74-93)  0  1  2148   6   9   6   9   0   0   2   2   0   0   6   8   0   1  3  7 10   0  3  1  14  14   2 -18  67  85   10    0   3   0   1   0  A
  11  CRO    5   RS vCRO   W(94-70)  0  1  1481   9  12   9  12   0   0   2   2   1   1   7   8   2   4  2 12 14   0  2  1  20  16   6  32  74  42   13    0   2   0   1   0  A
  11  QUE    7   RS @QUE  L(96-102)  0  1  2400   4  12   4  10   0   2   3   4   0   1   4   9   0   1  4  8 12   0  1  2  11  11   0  -6  96 102   15    1   1   0   2   0  A
  11  WIL   13   RS vWIL  W(111-99)  0  1  2400   9  15   9  15   0   0   4   4   0   1   8  13   1   2  5  8 13   1  2  2  22  18   4  12 111  99   18    1   1   1   1   1  A
  11  CRO   17   RS @CRO W(105-100)  0  1  2394   6  14   6  14   0   0   4   4   0   1   6  10   0   4  3  8 11   0  0  2  16  16   0   5 105 100   16    0   0   0   2   0  A
  11  WIL   19   RS @WIL W(108-107)  0  1  2400  11  23  11  22   0   1   3   4   1   1   9  16   2   6  2  9 11   1  1  2  25  19   8   1 108 107   26    1   0   1   1   1  A
  11  QUE   21   RS vQUE  L(97-106)  0  1  2012   7  11   7  11   0   0   7  10   0   0   6   9   1   2  2  9 11   0  3  5  21  19   3 -10  83  93   16    0   2   1   5   0  A
  11  LAT   29   RS vLAT  W(109-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  HAR   30   RS @HAR   L(77-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  LAT   34   RS @LAT W(102-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   37   RS vRAY  L(86-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  KEN   40   RS @KEN   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   45   RS vWIL   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   47   RS @QUE   W(94-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
