Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS vBRE  W(105-97)  0  0   319   2   3   2   2   0   1   0   0   0   0   2   2   0   0  0  2  2   1  1  0   4   4   0   3  17  14    4    1   1   0   0   0  A
   5   RS @BRE   L(70-94)  0  0  1056   1   8   1   8   0   0   2   2   0   0   1   6   0   2  0  3  3   0  1  1   4   4   0 -12  32  44   10    1   0   1   1   0  A
   9   RS vQUE   W(82-81)  0  0    19   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11   RS @WIL  L(95-110)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  17   RS vBRE L(100-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  23   RS @QUE W(120-119)  1  0  1560   5   9   5   7   0   2   0   0   0   0   4   6   1   1  5  6 11   1  0  0  10   8   4  11  81  70   10    1   0   0   0   0  A
  25   RS vHAR  L(92-101)  0  0  1141   5  10   4   8   1   2   0   0   1   1   3   4   1   4  2  4  6   2  3  0  11   6   5   3  48  45   17    7   2   1   0   0  A
  33   RS vLAT   W(99-76)  0  0  1264   3   5   3   5   0   0   2   2   0   0   2   3   1   2  0  5  5   2  0  1   8   6   2  19  55  36    8    2   0   0   1   0  A
  41   RS vWIL   W(77-74)  0  0   664   0   4   0   4   0   0   3   4   0   0   0   1   0   3  1  5  6   0  1  2   3   3   2  10  20  10    7    1   1   0   2   0  A
  43   RS @WIL W(111-101)  0  1  1498   2   7   2   7   0   0   0   0   0   1   2   5   0   2  1 10 11   0  0  0   4   4   0   7  64  57    8    1   0   0   0   0  A
  49   RS vWIL   W(85-84)  0  1   963   3   6   3   6   0   0   0   0   1   1   2   3   1   3  2  6  8   0  4  0   6   4   2   5  38  33    8    2   4   0   0   0  A
