Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    2   RS @LAT  L(99-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT    4   RS vLAT  W(114-95)  0  0   111   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   2   6   4    0    0   0   0   0   0  A
  11  KEN    8   RS @KEN   W(99-79)  0  0   175   0   2   0   2   0   0   0   0   0   0   0   1   0   1  0  1  1   0  0  0   0   0   0   3   9   6    2    0   0   0   0   0  A
  11  LAT   12   RS vLAT  L(77-107)  0  0   230   1   2   1   2   0   0   0   0   0   0   1   2   0   0  1  0  1   0  0  0   2   2   0 -10   6  16    2    0   0   0   0   0  A
  11  HAR   14   RS @HAR   W(91-78)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   20   RS vHAR W(112-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   24   RS @KEN L(114-118)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   28   RS vQUE  W(119-97)  0  0   306   1   1   1   1   0   0   0   2   0   0   1   1   0   0  0  0  0   0  1  1   2   2   0   1  13  12    2    0   0   1   1   0  A
  11  WIL   35   RS @WIL   L(70-95)  0  0   600   0   3   0   3   0   0   0   0   0   0   0   3   0   0  2  4  6   0  1  0   0   0   0   2  20  18    3    0   0   1   0   0  A
  11  WIL   36   RS vWIL  W(111-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   37   RS @BRE  W(111-86)  0  0   247   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   0  0  0   2   2   0   7  11   4    1    0   0   0   0   0  A
  11  HAR   44   RS vHAR  W(109-94)  0  0   242   1   1   1   1   0   0   0   0   0   0   1   1   0   0  1  1  2   0  0  0   2   2   2  -7   6  13    1    0   0   0   0   0  A
  11  LAT   52   RS vLAT   W(92-84)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   54   RS @HAR  L(82-100)  0  0   131   0   1   0   0   0   1   2   2   0   0   0   0   0   0  1  1  2   0  0  1   2   2   0   2   4   2    2    0   0   0   1   0  A
  11  HAR   60   RS vHAR  W(102-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   68   RS vCRO  W(106-86)  0  0   287   0   0   0   0   0   0   0   0   0   0   0   0   0   0  1  2  3   0  0  0   0   0   0   0   9   9    1    1   0   0   0   0  A
  11  BRE   69   RS @BRE  L(75-106)  0  0   600   1   1   1   1   0   0   0   2   0   0   1   1   0   0  0  4  4   1  0  1   2   2   0  -1  23  24    3    1   0   0   1   0  A
  11  CRO   73   RS @CRO  W(102-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   76   RS vQUE L(100-107)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  QUE   79   RS @QUE  L(84-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
