Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   2   RS @LAT  L(99-107)  0  1  2400  11  14  10  11   1   3   1   2   0   0   8   8   2   3  3 12 15   2  2  1  24  17   6  -8  99 107   21    6   1   1   1   0  A
   4   RS vLAT  W(114-95)  0  1   984   5   7   5   6   0   1   2   2   0   0   5   6   0   0  0  3  3   0  3  1  12  12   2  19  53  34    9    1   2   1   1   0  A
   8   RS @KEN   W(99-79)  0  1  2225  10  22  10  21   0   1   5   6   1   1   8  15   2   6  3 12 15   2  2  3  25  19   4  17  90  73   28    3   1   1   2   1  A
  12   RS vLAT  L(77-107)  0  1   683   2   4   2   4   0   0   1   2   0   1   1   3   1   1  2  3  5   0  4  1   5   3   0  -6  22  28    5    0   4   0   1   0  A
  14   RS @HAR   W(91-78)  0  1  2162   9  18   9  16   0   2   3   4   1   2   9  13   0   3  4 16 20   3  4  2  21  21   4  15  83  68   25    5   3   1   2   0  A
  20   RS vHAR W(112-105)  1  1  2700  14  20  14  18   0   2   6   6   0   0  11  12   3   6  2 10 12   1  2  3  34  26   2   7 112 105   25    2   2   0   2   1  A
  24   RS @KEN L(114-118)  1  1  2700  12  22  11  20   1   2   9  10   2   3  10  17   1   3  5 11 16   3  2  5  34  29   6  -4 114 118   33    6   2   0   5   0  A
  28   RS vQUE  W(119-97)  0  1  1826   8  10   8  10   0   0   3   6   1   1   5   6   3   4  4  7 11   1  2  3  19  13   2  28 100  72   15    2   2   0   3   0  A
  35   RS @WIL   L(70-95)  0  1  1800   5  14   5  14   0   0   2   2   0   0   4   8   1   6  1  4  5   0  2  1  12  10   0 -27  50  77   16    1   1   1   1   0  A
  36   RS vWIL  W(111-94)  0  1  2147  16  20  16  20   0   0   4   4   3   4  12  16   4   4  6  6 12   0  3  2  36  28  12  16 104  88   22    0   2   1   2   0  A
  37   RS @BRE  W(111-86)  0  1  1168   3   5   3   5   0   0   3   4   0   0   3   4   0   1  2  5  7   1  3  2   9   9   5   5  54  49    9    2   3   0   2   0  A
  44   RS vHAR  W(109-94)  0  1  2158   6  11   6  11   0   0   6   6   1   1   3   5   3   6  2  5  7   0  3  3  18  12   2  22 103  81   15    1   3   0   3   0  A
