Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   8   RS vRAY   L(79-99)  0  0   842   1   6   1   4   0   2   0   0   1   2   1   2   0   2  2  1  3   1  1  0   2   2   2  -7  27  34    7    1   0   1   0   0  A
  16   RS vHAR  W(101-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  22   RS @HAR   L(92-99)  0  0  1552   3   8   0   1   3   7   0   0   0   0   0   0   0   1  1  1  2   1  3  0   9   0   3   7  67  60    9    1   1   2   0   0  A
  24   RS vRAY W(118-114)  1  0   454   1   6   0   2   1   4   0   0   0   0   0   0   0   2  0  1  1   0  1  0   3   0   0  -8  16  24    6    0   0   1   0   0  A
  27   RS @WIL  L(79-113)  0  0   906   5   7   2   4   3   3   0   0   1   2   1   2   1   2  3  1  4   0  2  0  13   2   2 -10  29  39    8    1   2   0   0   0  A
  32   RS vWIL  L(91-108)  0  0  1719   5   8   2   3   3   5   5   7   0   0   0   0   2   3  2  2  4   1  3  3  18   2   7  -5  74  79   13    2   3   0   1   2  A
  39   RS @QUE   L(88-97)  0  0   277   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   2   8   6    0    0   0   0   0   0  A
  40   RS vBRE   W(92-84)  0  0   981   1   3   1   2   0   1   2   2   0   0   0   0   1   2  0  1  1   0  0  1   4   0   0  12  44  32    4    0   0   0   0   1  A
  42   RS @LAT   W(98-75)  0  0  1556   1   3   1   1   0   2   2   2   0   0   0   0   1   1  0  7  7   0  0  1   4   0   0  32  74  42    5    1   0   0   0   1  A
  48   RS vHAR  W(114-95)  0  0   600   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   3  37  34    0    0   0   0   0   0  A
  50   RS @LAT  W(101-93)  0  1  2400   6  11   2   5   4   6   2   5   0   1   0   1   2   4  2  4  6   0  0  2  18   0   2   8 101  93   14    1   0   0   0   2  A
  56   RS vLAT  W(103-72)  0  1  1800   2   4   1   2   1   2   1   3   0   0   0   0   1   2  0  1  1   1  0  1   6   0   2  26  79  53    7    2   0   0   0   1  A
  62   RS @HAR   L(77-90)  0  1  2400   2   4   1   2   1   2   0   0   0   0   0   0   1   2  1  3  4   1  2  0   5   0   0 -13  77  90    8    4   0   2   0   0  A
  64   RS vLAT   W(75-67)  0  1  2400   5  10   2   3   3   7   0   0   0   0   0   0   2   3  1  6  7   0  0  0  13   0   3   8  75  67   15    5   0   0   0   0  A
  65   RS @CRO  W(112-96)  0  1  2229   2   8   1   3   1   5   5   5   0   0   0   1   1   2  0  5  5   0  1  2  10   0   0  11 101  90   11    1   1   0   0   2  A
  72   RS vQUE W(108-105)  0  1  2400   3  11   0   4   3   7  10  13   0   0   0   0   0   4  0  4  4   0  2  6  19   0   2   3 108 105   18    1   1   1   0   6  A
  75   RS @WIL   W(87-81)  0  1  2367   3   8   2   4   1   4   2   6   1   1   2   2   0   2  3  4  7   0  1  3   9   4   2   5  83  78   15    4   1   0   1   2  A
  80   RS vCRO   W(95-79)  0  1  1800   2   8   1   2   1   6   3   3   0   0   0   0   1   2  0  3  3   0  2  1   8   0   0   8  77  69    9    0   2   0   0   1  A
