Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   3   RS vBRE   W(93-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11   RS vCRO  W(110-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  13   RS @BRE  L(99-111)  0  0   615   1   1   1   1   0   0   0   0   0   0   1   1   0   0  1  2  3   2  1  0   2   2   0   1  24  23    5    4   1   0   0   0  A
  15   RS @QUE  W(101-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  19   RS vBRE L(107-108)  0  0   365   0   3   0   3   0   0   0   0   0   0   0   2   0   1  0  1  1   0  0  0   0   0   0 -12   7  19    5    2   0   0   0   0  A
  27   RS vKEN  W(113-79)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  32   RS @KEN  W(108-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  35   RS vRAY   W(95-70)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  36   RS @RAY  L(94-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  41   RS @CRO   L(74-77)  0  0   733   1   5   1   4   0   1   0   0   0   1   1   4   0   0  1  1  2   0  0  0   2   2   0   2  20  18    6    1   0   0   0   0  A
  43   RS vCRO L(101-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  45   RS @BRE   W(82-81)  0  0  1340   3  11   1   7   2   4   2   2   0   2   1   6   0   1  2  4  6   5  0  1  10   4   0  14  52  38   21    9   0   0   1   0  A
  49   RS @CRO   L(84-85)  0  0   841   1   5   1   5   0   0   3   3   0   0   1   4   0   1  1  5  6   2  2  1   5   2   0   0  31  31   11    5   0   2   0   1  A
  51   RS vQUE  L(89-107)  0  0   224   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   1  0  0   0   0   0  -1  11  12    2    1   0   0   0   0  A
  59   RS vCRO   L(88-99)  0  0  1800   7  11   6   9   1   2   5   5   0   0   4   7   2   2  0  7  7   1  1  2  20  10   2  -5  68  73   16    3   0   1   1   1  A
  63   RS @QUE   L(81-99)  0  0   850   3   5   3   4   0   1   0   0   0   0   2   3   1   1  1  1  2   2  1  0   6   4   0  -9  31  40   12    7   1   0   0   0  A
  66   RS @LAT  W(104-90)  0  0   216   1   2   1   2   0   0   2   3   0   0   0   1   1   1  1  0  1   0  0  1   4   0   2   7  11   4    4    1   0   0   0   1  A
  67   RS vHAR  L(87-102)  0  1  1297   5  10   5   9   0   1   0   0   1   1   5   9   0   0  1  2  3   4  3  0  10  10   4 -13  44  57   14    4   2   1   0   0  A
  75   RS vKEN   L(81-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
