Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    8   RS vRAY   L(79-99)  0  0   842   1   6   1   4   0   2   0   0   1   2   1   2   0   2  2  1  3   1  1  0   2   2   2  -7  27  34    7    1   0   1   0   0  A
  11  HAR   16   RS vHAR  W(101-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   22   RS @HAR   L(92-99)  0  0  1552   3   8   0   1   3   7   0   0   0   0   0   0   0   1  1  1  2   1  3  0   9   0   3   7  67  60    9    1   1   2   0   0  A
  11  RAY   24   RS vRAY W(118-114)  1  0   454   1   6   0   2   1   4   0   0   0   0   0   0   0   2  0  1  1   0  1  0   3   0   0  -8  16  24    6    0   0   1   0   0  A
  11  WIL   27   RS @WIL  L(79-113)  0  0   906   5   7   2   4   3   3   0   0   1   2   1   2   1   2  3  1  4   0  2  0  13   2   2 -10  29  39    8    1   2   0   0   0  A
  11  WIL   32   RS vWIL  L(91-108)  0  0  1719   5   8   2   3   3   5   5   7   0   0   0   0   2   3  2  2  4   1  3  3  18   2   7  -5  74  79   13    2   3   0   1   2  A
  11  QUE   39   RS @QUE   L(88-97)  0  0   277   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   2   8   6    0    0   0   0   0   0  A
  11  BRE   40   RS vBRE   W(92-84)  0  0   981   1   3   1   2   0   1   2   2   0   0   0   0   1   2  0  1  1   0  0  1   4   0   0  12  44  32    4    0   0   0   0   1  A
  11  LAT   42   RS @LAT   W(98-75)  0  0  1556   1   3   1   1   0   2   2   2   0   0   0   0   1   1  0  7  7   0  0  1   4   0   0  32  74  42    5    1   0   0   0   1  A
  11  HAR   48   RS vHAR  W(114-95)  0  0   600   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   3  37  34    0    0   0   0   0   0  A
