Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  0   263   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   4   8   4    1    0   0   0   0   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   14   RS vRAY   L(78-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   16   RS @KEN  L(85-101)  0  0   322   2   6   2   5   0   1   0   0   0   0   2   2   0   3  1  1  2   1  0  0   4   4   0   5  14   9    7    1   0   0   0   0  A
  11  LAT   18   RS @LAT   L(88-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   20   RS @RAY L(105-112)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   22   RS vKEN   W(99-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   25   RS @CRO  W(101-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   30   RS vBRE   W(91-77)  0  0   238   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0  -4   9  13    0    0   0   0   0   0  A
  11  QUE   31   RS @QUE   W(96-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   38   RS vQUE  W(105-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  RAY   44   RS @RAY  L(94-109)  0  0   242   3   3   3   3   0   0   0   0   0   0   2   2   1   1  0  3  3   0  0  0   6   4   0   7  13   6    4    1   0   0   0   0  A
  11  LAT   46   RS vLAT  L(92-100)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   48   RS @KEN  L(95-114)  0  0   404   3   3   0   0   3   3   0   0   0   0   0   0   0   0  0  1  1   0  1  0   9   0   0   6  23  17    3    0   0   1   0   0  A
  11  RAY   54   RS vRAY  W(100-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   58   RS @LAT   W(90-83)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   60   RS @RAY  L(95-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   62   RS vKEN   W(90-77)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  11  WIL   67   RS @WIL  W(102-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   70   RS vCRO   W(97-73)  0  0   600   1   4   1   2   0   2   0   0   0   0   1   1   0   1  0  0  0   0  0  0   2   2   0  -9  20  29    5    1   0   0   0   0  A
  11  QUE   71   RS @QUE  L(98-105)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   78   RS vBRE  W(105-78)  0  0   232   1   2   1   1   0   1   0   0   0   0   1   1   0   0  1  0  1   0  1  0   2   2   0   7  11   4    4    2   0   1   0   0  A
