Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  BRE    7   RS vBRE  W(102-96)  0  0   366   1   1   1   1   0   0   0   0   0   0   1   1   0   0  2  1  3   0  0  0   2   2   0  -2  13  15    1    0   0   0   0   0  A
  11  CRO    9   RS @CRO   L(81-82)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  WIL   15   RS vWIL  L(89-101)  0  0   179   1   1   1   1   0   0   1   2   0   0   1   1   0   0  0  0  0   1  0  1   3   3   0   3  10   7    3    1   0   0   1   0  A
  11  BRE   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  CRO   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  LAT   26   RS @LAT  L(96-105)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  RAY   28   RS @RAY  L(97-119)  0  0   306   1   3   1   3   0   0   0   0   0   0   1   3   0   0  1  0  1   0  1  0   2   2   0  -1  12  13    3    0   1   0   0   0  A
  11  HAR   31   RS vHAR   L(90-96)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  HAR   38   RS @HAR  L(83-105)  0  0   403   1   3   1   3   0   0   1   2   0   0   1   1   0   2  1  2  3   0  0  1   3   3   3   0  14  14    4    0   0   0   1   0  A
  11  KEN   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   47   RS vBRE   L(86-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
