Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Fi3    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Kf2    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  He10    1   RS vBRE  W(105-97)  0  1  2359  11  20  10  16   1   4   2   3   0   0   3   4   7  12  3  4  7   2  3  1  25   6   2   8 105  97   24    3   2   1   0   1  A
   Ie8    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ja2    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Eg6    1   RS vBRE  W(105-97)  0  0    41   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  1  1   0  0  0   0   0   0   0   0   0    1    0   0   0   0   0  A
   Ja3    1   RS vBRE  W(105-97)  0  1  2081  10  15  10  15   0   0   7  10   2   2   8  10   2   5  3 10 13   0  2  5  27  23   4   5  88  83   20    0   2   0   5   0  A
  Kc11    1   RS vBRE  W(105-97)  0  1  2400   6  14   6  14   0   0   0   0   2   2   5  10   1   4  4  8 12   0  0  0  12  10   4   8 105  97   14    0   0   0   0   0  A
   Ji7    1   RS vBRE  W(105-97)  0  1  2400   6  12   5  10   1   2   0   0   0   1   2   6   3   4  3  1  4   9  0  0  13   4   2   8 105  97   33   21   0   0   0   0  A
   Jc5    1   RS vBRE  W(105-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fj3    1   RS vBRE  W(105-97)  0  1  2400   4   9   2   6   2   3  14  15   0   1   2   5   0   1  1  3  4  10  2  6  24   4   2   8 105  97   34   19   0   2   0   6  A
   Ia3    1   RS vBRE  W(105-97)  0  0   319   2   3   2   2   0   1   0   0   0   0   2   2   0   0  0  2  2   1  1  0   4   4   0   3  17  14    4    1   1   0   0   0  A
   Fi3    5   RS @BRE   L(70-94)  0  0   600   1   2   1   2   0   0   0   0   0   0   0   0   1   2  0  2  2   1  1  0   2   0   0   4  18  14    8    6   0   1   0   0  A
   Kf2    5   RS @BRE   L(70-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1    5   RS @BRE   L(70-94)  0  0   600   0   4   0   2   0   2   0   0   0   0   0   0   0   2  0  4  4   3  1  0   0   0   0   4  18  14   11    7   0   1   0   0  A
  He10    5   RS @BRE   L(70-94)  0  1   966   2   7   2   6   0   1   2   3   0   0   2   2   0   4  0  1  1   1  1  1   6   4   0 -21  29  50   10    2   0   1   0   1  A
   Ie8    5   RS @BRE   L(70-94)  0  0   834   2   7   2   7   0   0   0   0   1   1   2   5   0   2  2  2  4   0  1  0   4   4   2  -7  23  30    7    0   1   0   0   0  A
   Eg6    5   RS @BRE   L(70-94)  0  0  1800   3   7   2   5   1   2   2   2   0   0   0   1   2   4  2  6  8   1  1  1   9   2   0 -10  55  65    9    1   0   1   1   0  A
   Ja3    5   RS @BRE   L(70-94)  0  1  1800   7  12   7  12   0   0   5   6   1   1   6   8   1   4  3  6  9   1  1  3  19  16   6 -28  52  80   18    3   0   1   2   1  A
  Kc11    5   RS @BRE   L(70-94)  0  1  1344   6  16   6  16   0   0   2   2   0   0   5  10   1   6  0  4  4   0  1  1  14  12   0 -12  38  50   17    0   1   0   1   0  A
   Ji7    5   RS @BRE   L(70-94)  0  1  1800   3   7   2   5   1   2   1   2   0   0   0   0   2   5  3  0  3   9  0  1   8   1   2 -28  52  80   36   28   0   0   1   0  A
   Jc5    5   RS @BRE   L(70-94)  0  0   600   1   3   1   3   0   0   2   2   0   0   1   1   0   2  0  4  4   0  0  1   4   4   0   4  18  14    4    0   0   0   1   0  A
   Fj3    5   RS @BRE   L(70-94)  0  1   600   0   3   0   1   0   2   0   0   0   0   0   1   0   0  0  1  1   0  1  0   0   0   0 -14  15  29    6    3   0   1   0   0  A
   Ia3    5   RS @BRE   L(70-94)  0  0  1056   1   8   1   8   0   0   2   2   0   0   1   6   0   2  0  3  3   0  1  1   4   4   0 -12  32  44   10    1   0   1   1   0  A
