Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
   1   RS vBRE  W(105-97)  0   12    13  39  74  35  64   4  10  23  28   4   6  22  37  13  27 14 29 43  22  8 105  51  14   86  130   44   5   3    4   10   10   40   77   32   59    8   18    9   18    2    5   21   40   11   19  12  23  35   22  12   97   47   12    85   130    45    5    7    47     4     6 25-23,28-27,24-27,28-20
   5   RS @BRE   L(70-94)  0    1     0  26  76  24  67   2   9  16  19   2   2  17  34   7  33 10 33 43  16  9  70  47  10   85  136   51   2   7   23    0   12   35   75   28   60    7   15   17   24    1    1   22   46    6   14  10  42  52   25   9   94   48   14    84   137    53    7    2    16    30    13 15-29,19-29,18-22,18-14
   9   RS vQUE   W(82-81)  0    7     8  36  87  32  72   4  15   6  10   2   3  20  34  12  38 17 37 54  23  9  82  44  17   92  144   52   7   2   24    7    7   33   73   30   59    3   14   12   18    1    1   19   32   11   27   6  36  42   22   5   81   48    7    82   136    54    4    1    15     6     6 23-18,18-18,13-22,28-23
  11   RS @WIL  L(95-110)  0    1     4  41  82  32  58   9  24   4   8   3   3  21  36  11  22  9 26 35  27  6  95  45  10   86  141   55   4   2   21    5    9   45   80   37   65    8   15   12   13    0    3   20   38   17   27  10  33  43   27   4  110   47    8    86   131    45    3    1    31    17     8 25-22,22-34,27-25,21-29
  17   RS vBRE L(100-105)  0    1     0  42  84  36  70   6  14  10  13   2   3  19  36  17  34 11 29 40  23 12 100  41  15   90  133   43   4   8   27    0    6   38   73   27   49   11   24   18   26    0    1   23   35    4   14   7  33  40   27   6  105   54    9    85   143    58    2    4    15    16     6 25-33,22-25,22-26,31-21
  23   RS @QUE W(120-119)  1    4    15  42  89  36  71   6  18  30  36   4   7  24  45  12  26 18 34 52  28  7 120  58  19  104  162   58   4   3   65    6    8   47   89   37   67   10   22   15   16    1    3   19   38   18   29   8  33  41   34  15  119   45    9    96   166    70    6    9    18    14    11 13-27,25-23,28-19,37-34,17-16
  25   RS vHAR  L(92-101)  0    8    12  33  75  24  56   9  19  17  23   1   2  13  24  11  32 10 28 38  21 17  92  32  14   85  126   41   9   8   21    6    6   34   69   28   54    6   15   27   37    2    3   15   29   13   25  11  35  46   19  10  101   40   15    86   132    46    5    5    34     9     7 25-29,31-23,17-24,19-25
  33   RS vLAT   W(99-76)  0    1     2  35  69  33  59   2  10  27  35   3   3  19  30  14  29  9 38 47  23  8  99  44  12   84  134   50   5   3   26   28   10   31   77   29   60    2   17   12   17    0    1   21   38    8   22  11  27  38   18  15   76   48    7    85   129    44    4   11    22     1     6 27-19,23-15,25-18,24-24
  41   RS vWIL   W(77-74)  0    7    12  29  75  25  60   4  15  15  20   0   1  16  32   9  28 13 37 50  15 12  77  45  17   85  125   40   9   3   23   11    9   28   77   24   61    4   16   14   24    2    6   18   38    6   23  17  36  53   19  10   74   47   13    89   138    49    9    1    14     3    10 24-24,15-8,22-22,16-20
  43   RS @WIL W(111-101)  0   11    13  40  80  32  65   8  15  23  29   2   4  21  35  11  30 12 31 43  27 10 111  48   6   92  143   51   4   6   10   16    8   42   81   42   70    0   11   17   22    5    6   34   52    8   18  11  32  43   23  12  101   74   15    91   140    49    4    8    11     4     7 28-26,23-13,27-31,33-31
  49   RS vWIL   W(85-84)  0    9     4  28  70  23  56   5  14  24  28   2   3  11  26  12  30  8 33 41  19 15  85  24  10   82  135   53  14   1   13    7    7   29   66   26   58    3    8   23   31    0    0   17   37    9   21   7  36  43   11  12   84   54    5    81   124    43    2   10     5     2     4 19-16,19-19,23-25,24-24
  55   RS @QUE   L(89-95)  0   11     6  36  76  31  60   5  16  12  19   2   2  17  28  14  32  8 35 43  24  9  89  41   9   85  147   62   3   6   13   11    8   37   77   32   63    5   14   16   20    1    3   21   40   11   23   8  34  42   22   9   95   45    4    86   131    45    5    4    15     7    10 26-24,23-21,20-18,20-32
  57   RS vQUE  L(76-110)  0    0     0  27  75  21  55   6  20  16  18   1   2  12  25   9  30 13 19 32  16 16  76  25  16   82  131   49   9   7   38    0    7   36   67   28   52    8   15   30   36    3    3   13   30   15   22  14  37  51   22   7  110   39   21    83   122    39    1    6    29    36    15 13-31,23-26,18-30,22-23
