Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   3   RS vBRE   W(93-74)  0  0   252   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  0  0   1  0  0   0   0   0   1   8   7    3    2   0   0   0   0  A
  11   RS vCRO  W(110-95)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  13   RS @BRE  L(99-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  15   RS @QUE  W(101-89)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  19   RS vBRE L(107-108)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  27   RS vKEN  W(113-79)  0  0   370   1   2   0   1   1   1   0   0   0   0   0   1   0   0  1  3  4   0  0  0   3   0   0   7  16   9    3    1   0   0   0   0  A
  32   RS @KEN  W(108-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  35   RS vRAY   W(95-70)  0  0   282   0   1   0   0   0   1   0   0   0   0   0   0   0   0  0  1  1   0  0  0   0   0   0   7  14   7    1    0   0   0   0   0  A
  36   RS @RAY  L(94-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  41   RS @CRO   L(74-77)  0  0   311   0   3   0   2   0   1   0   0   0   0   0   2   0   0  0  1  1   0  2  0   0   0   0   0   6   6    5    2   1   1   0   0  A
  43   RS vCRO L(101-111)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  45   RS @BRE   W(82-81)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  49   RS @CRO   L(84-85)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  51   RS vQUE  L(89-107)  0  0   392   2   4   0   0   2   4   2   2   0   0   0   0   0   0  0  0  0   0  0  1   8   2   0   7  19  12    7    2   0   0   1   0  A
  59   RS vCRO   L(88-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  63   RS @QUE   L(81-99)  0  0   250   1   1   1   1   0   0   5   5   0   0   1   1   0   0  0  0  0   2  0  2   7   4   0   2  13  11    5    2   0   0   1   1  A
  66   RS @LAT  W(104-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  67   RS vHAR  L(87-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  75   RS vKEN   L(81-87)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
