Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  RAY    2   RS vRAY  W(107-99)  0  0    35   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   2   4   2    0    0   0   0   0   0  A
  11  RAY    4   RS @RAY  L(95-114)  0  0   111   0   1   0   0   0   1   0   0   0   0   0   0   0   0  1  0  1   0  0  0   0   0   0  -2   4   6    1    0   0   0   0   0  A
  11  HAR    6   RS @HAR   L(65-96)  0  0   891   0   3   0   1   0   2   2   2   0   0   0   0   0   1  0  2  2   2  1  1   2   2   0 -13  28  41    9    5   1   0   1   0  A
  11  HAR   10   RS vHAR   L(86-90)  0  0  1309   3   8   3   8   0   0   4   4   0   0   2   4   1   4  1  4  5   2  1  2  10   8   4   4  49  45   12    2   0   1   2   0  A
  11  RAY   12   RS @RAY  W(107-77)  0  0   186   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  0  0   0  0  0   2   2   0  10  14   4    1    0   0   0   0   0  A
  11  HAR   18   RS vHAR   W(91-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   26   RS vQUE  W(105-96)  0  0   409   5   7   5   6   0   1   0   0   0   0   3   4   2   2  0  0  0   0  1  0  10   6   0  -2  18  20    7    0   1   0   0   0  A
  11  BRE   29   RS @BRE  L(87-109)  0  0   213   0   2   0   1   0   1   0   0   0   0   0   1   0   0  0  0  0   0  0  0   0   0   0  -7   9  16    3    1   0   0   0   0  A
  11  CRO   33   RS @CRO   L(76-99)  0  0   824   1   9   1   8   0   1   0   0   0   0   1   5   0   3  0  0  0   0  2  0   2   2   0  -7  23  30    9    0   1   1   0   0  A
  11  BRE   34   RS vBRE L(100-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   42   RS vKEN   L(75-98)  0  0   794   3   5   3   5   0   0   2   2   0   0   2   4   1   1  1  0  1   0  1  1   8   4   0 -11  28  39    6    0   0   1   0   1  A
  11  HAR   46   RS @HAR  W(100-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   50   RS vKEN  L(93-101)  0  0   590   3   5   3   5   0   0   2   2   0   0   2   3   1   2  1  0  1   1  2  1   8   6   2  -5  24  29    7    1   1   1   1   0  A
  11  RAY   52   RS @RAY   L(84-92)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   56   RS @KEN  L(72-103)  0  0   228   0   1   0   1   0   0   0   0   0   0   0   0   0   1  0  0  0   0  0  0   0   0   0  -4   6  10    2    1   0   0   0   0  A
  11  HAR   58   RS vHAR   L(83-90)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  KEN   64   RS @KEN   L(67-75)  0  0   588   1   4   0   1   1   3   0   0   0   0   0   1   0   0  1  2  3   1  1  0   3   0   0  -7  14  21    5    1   0   1   0   0  A
  11  WIL   66   RS vWIL  L(90-104)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  QUE   74   RS vQUE L(101-104)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  11  BRE   77   RS @BRE  W(100-91)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
