Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS vBRE  W(105-97)  0  1  2400   6  12   5  10   1   2   0   0   0   1   2   6   3   4  3  1  4   9  0  0  13   4   2   8 105  97   33   21   0   0   0   0  A
   5   RS @BRE   L(70-94)  0  1  1800   3   7   2   5   1   2   1   2   0   0   0   0   2   5  3  0  3   9  0  1   8   1   2 -28  52  80   36   28   0   0   1   0  A
   9   RS vQUE   W(82-81)  0  1  2400   4  11   4   7   0   4   0   0   0   0   2   3   2   4  3  8 11  17  1  0   8   4   2   1  82  81   47   36   0   1   0   0  A
  11   RS @WIL  L(95-110)  0  1  2400   8  17   6  13   2   4   0   0   0   0   3   6   3   7  1  1  2  18  2  0  18   6   0 -15  95 110   58   41   0   2   0   0  A
  17   RS vBRE L(100-105)  0  1  2201   3   7   3   7   0   0   0   0   0   1   1   4   2   3  3  9 12  11  3  0   6   2   0  -3  90  93   29   22   0   3   0   0  A
  23   RS @QUE W(120-119)  1  1  2700   4  14   3  11   1   3   6   7   1   2   2   7   1   4  3  2  5  10  1  3  15   7   2   1 120 119   44   27   0   1   2   1  A
  25   RS vHAR  L(92-101)  0  1  1891   4   6   4   5   0   1   2   4   0   0   2   2   2   3  0  2  2  10  4  2  10   5   0  -2  74  76   26   18   2   2   1   1  A
  33   RS vLAT   W(99-76)  0  1  1995   7  13   7  12   0   1   0   0   0   0   2   4   5   8  0  5  5  11  0  0  14   4   2  22  84  62   35   22   0   0   0   0  A
  41   RS vWIL   W(77-74)  0  1  2400   6  12   5   8   1   4   2   2   0   0   4   5   1   3  0  2  2  10  1  1  15   8   5   3  77  74   42   29   1   0   0   1  A
  43   RS @WIL W(111-101)  0  1  2400   5  13   5  10   0   3   5   5   0   0   3   4   2   6  1  3  4  13  1  2  15   8   2  10 111 101   43   28   0   1   1   1  A
  49   RS vWIL   W(85-84)  0  1  2400   7  12   6  10   1   2   0   0   0   0   2   2   4   8  0  3  3   4  0  0  15   4   2   1  85  84   35   23   0   0   0   0  A
  55   RS @QUE   L(89-95)  0  1  2370   4   8   3   6   1   2   4   4   0   0   2   2   1   4  0  3  3  20  3  2  13   6   2  -7  86  93   47   37   0   3   1   1  A
  57   RS vQUE  L(76-110)  0  1   206   1   4   1   3   0   1   0   0   0   0   0   1   1   2  0  0  0   0  4  0   2   0   0  -5   2   7    6    2   3   1   0   0  A
  59   RS @WIL   W(99-88)  0  1  2400   8  18   5  12   3   6   0   0   0   1   1   3   4   9  2  6  8   8  2  0  19   2   2  11  99  88   38   20   1   1   0   0  A
  65   RS vKEN  L(96-112)  0  1  1951   8  13   6  11   2   2   2   2   0   0   5   7   1   4  1  3  4  11  2  1  20  12   2 -14  73  87   39   25   0   2   1   0  A
  68   RS @RAY  L(86-106)  0  1  1800   3  13   2   8   1   5   0   0   0   1   0   5   2   3  2  2  4   9  0  0   7   0   0  -9  68  77   33   20   0   0   0   0  A
  70   RS @HAR   L(73-97)  0  1  1963   5  12   5   9   0   3   1   2   0   0   2   4   3   5  3  2  5   7  2  1  11   5   2 -15  64  79   34   21   0   2   1   0  A
  73   RS vRAY  L(87-102)  0  1  2400   2   7   1   6   1   1   2   2   0   0   1   3   0   3  0  5  5  12  0  1   7   4   0 -15  87 102   34   26   0   0   1   0  A
  80   RS @KEN   L(79-95)  0  1  2179   5  13   4   8   1   5   1   2   0   0   1   3   3   5  2  2  4   7  2  1  12   2   0 -17  74  91   31   17   0   2   0   1  A
